ID	LONGITUDE	LATITUDE	STREET	SUBURB	RESTRICTIONS	RESTRICTED_DAYS_AND_TIMES
673	153.0468905	-27.3687294	RAILWAY PARADE	GEEBUNG	Loading Zone Passengers 2 Min. Max	
674	152.9953631	-27.4999302	SWANN ROAD	ST LUCIA	Loading Zone Passengers 2 Min. Max	 7 30 -  9 30am  2pm -  4pm SCHOOLDAYS
675	153.0604049	-27.40434949	SANDGATE ROAD	NUNDAH	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
676	152.974545	-27.55371038	OXLEY STATION ROAD	OXLEY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
677	153.0415888	-27.43445969	TAYLOR STREET	BOWEN HILLS	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 8am -  5 30pm MON-FRI 8am -  12noon SAT
678	152.9940085	-27.44656316	BETH EDEN TERRACE	ASHGROVE	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
679	153.06399	-27.5098435	CAVENDISH ROAD	COORPAROO	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
680	153.0433903	-27.4492366	REDDACLIFF STREET	NEWSTEAD	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 7am -  4pm MON-FRI 7am -  12noon SAT
681	153.0462262	-27.42126919	VICTORIA PARADE	CLAYFIELD	Loading Zone	
682	153.0268307	-27.46330398	ASTOR TERRACE	SPRING HILL	Loading Zone Passengers 2 Min. Max	 6am -  6pm MON-FRI 6am -  12noon SAT
683	152.9816929	-27.5973223	INALA AVENUE	INALA	Loading Zone Passengers 2 Min. Max	  7 00AM -  9 00AM SCHOOLDAYS 2 00PM -  4 00PM
684	153.0826108	-27.58493709	DEMIGRE STREET	EIGHT MILE PLAINS	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
685	153.0661153	-27.43934785	HARBOUR ROAD	HAMILTON	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 MON-FRI 7 00AM -  7 00PM
686	153.0288562	-27.48240824	LOWER RIVER TERRACE	SOUTH BRISBANE	Loading Zone	 8am -  5 30pm MON-FRI
687	152.9951151	-27.50980235	MEIERS ROAD	INDOOROOPILLY	Loading Zone	 7am -  6pm MON-FRI
688	153.0158258	-27.4729553	PEEL STREET	SOUTH BRISBANE	Loading Zone Passengers 2 Min. Max	
689	153.0708165	-27.51635659	HOLLAND ROAD	HOLLAND PARK	Loading Zone Passengers 2 Min. Max	 7am -  6pm SCHOOLDAYS
690	153.0144384	-27.46197838	PETRIE TERRACE	PETRIE TERRACE	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	  -   ALL OTHER TIMES
691	152.9655593	-27.52702613	CUBBERLA STREET	FIG TREE POCKET	Loading Zone Passengers 2 Min. Max	 8am -  9am  2 30pm -  3 30pm SCHOOLDAYS
692	153.0188169	-27.46031604	GREGORY TERRACE	SPRING HILL	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 9am -  4pm MON-FRI 9am -  12noon SAT
693	152.991771	-27.44500452	STEWART ROAD	ASHGROVE	Loading Zone	 7am -  4pm MON-FRI
694	153.0838454	-27.46849062	MOLLOY ROAD	CANNON HILL	Loading Zone Passengers 2 Min. Max	 8am -  9am  2 30pm -  3 30pm SCHOOLDAYS
695	153.0333021	-27.42003498	LAMINGTON AVENUE	LUTWYCHE	Loading Zone Passengers 2 Min. Max	
696	152.9919299	-27.44580933	WATERWORKS ROAD	ASHGROVE	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 8am -  4pm MON-FRI
697	153.0353872	-27.4576758	WARNER STREET	FORTITUDE VALLEY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	  -   ALL OTHER TIMES
698	153.0289535	-27.47086969	MARY STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 5am -  7pm MON-FRI
699	153.0370841	-27.48479636	VULTURE STREET	WOOLLOONGABBA	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
700	153.0349977	-27.45409794	GREEN SQUARE CLOSE	FORTITUDE VALLEY	Loading Zone Passengers 2 Min. Max	
701	153.0264115	-27.4457152	GARRICK TERRACE	HERSTON	Loading Zone	
702	153.0565501	-27.59527778	SYMONS ROAD	SUNNYBANK HILLS	Loading Zone Passengers 2 Min. Max	 7am -  9am  3 -  3 30pm SCHOOLDAYS
703	153.0114652	-27.45005936	LESTRANGE TERRACE	KELVIN GROVE	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
704	153.0295808	-27.48248353	LOWER RIVER TERRACE	SOUTH BRISBANE	Loading Zone	 8am -  5 30pm MON-FRI
705	153.0828212	-27.5850185	DEMIGRE STREET	EIGHT MILE PLAINS	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
706	153.1870447	-27.46861708	RICHARD STREET	LOTA	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
707	153.0506232	-27.48361936	OAKLANDS PARADE	EAST BRISBANE	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
708	153.0354657	-27.46818125	MAIN STREET	KANGAROO POINT	Loading Zone	 8am -  5 30pm MON-FRI 8am -  12noon SAT
709	152.9441272	-27.55886354	MONIER ROAD	DARRA	Loading Zone	
710	153.0497955	-27.42972383	BUTLER STREET	ASCOT	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
711	153.0070721	-27.5248427	KING ARTHUR TERRACE	TENNYSON	Loading Zone	
712	153.0364089	-27.4546222	WICKHAM STREET	FORTITUDE VALLEY	Loading Zone	  -   ALL OTHER TIMES
713	153.0204817	-27.51739272	VILLA STREET	YERONGA	Loading Zone Passengers 2 Min. Max	 8am -  5 30pm MON-FRI
714	153.0201576	-27.45892706	BRISBANE GIRLS GRAMMAR SCHOOL ACCESS	SPRING HILL	Loading Zone Passengers 2 Min. Max	
715	153.0180277	-27.47736537	MERIVALE STREET	SOUTH BRISBANE	Loading Zone	  -   ALL OTHER TIMES
716	153.0420923	-27.4430898	WICKHAM GROVE	NEWSTEAD	Loading Zone	
717	152.9804262	-27.53964514	BROWNE STREET	CORINDA	Loading Zone Passengers 2 Min. Max	
718	153.1881058	-27.46991196	RAILWAY TERRACE	LOTA	Loading Zone Passengers 2 Min. Max	
719	152.9907187	-27.40681701	SOUTH PINE ROAD	EVERTON PARK	Loading Zone	 ALL OTHER TIMES  -  
720	153.0101621	-27.46039379	MORETON STREET	PADDINGTON	Loading Zone Passengers 2 Min. Max	 8 -  9am  2 30 -  3 30pm SCHOOLDAYS
721	152.9405727	-27.5388324	MOOLANDA STREET	JINDALEE	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
722	153.0597482	-27.49514031	CAVENDISH ROAD	COORPAROO	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 8am -  4pm MON-FRI 8am -  12noon SAT
723	153.0050854	-27.46950189	RAILWAY TERRACE	MILTON	Loading Zone Passengers 2 Min. Max	
724	153.0211884	-27.46891672	TURBOT STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 ALL OTHER TIMES  -  
725	153.0225328	-27.46276673	BIRLEY STREET	SPRING HILL	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
726	153.0617896	-27.48201417	WAITE STREET	NORMAN PARK	Loading Zone Passengers 2 Min. Max	
727	153.1544571	-27.45514863	WYNNUM ROAD	WYNNUM WEST	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
728	152.9867361	-27.39762715	OLD NORTHERN ROAD	EVERTON PARK	Loading Zone Passengers 2 Min. Max	 8 30am -  9 30am  2pm -  3 30pm MON-FRI
729	153.0258401	-27.46664382	ANN STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 midnight -  4am MON-FRI
730	153.0376372	-27.4878719	LOGAN ROAD	WOOLLOONGABBA	Loading Zone	 7am -  7pm MON-FRI
731	153.056754	-27.40397494	LESLIE STREET	NUNDAH	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
732	153.0052877	-27.45321212	MUSGRAVE ROAD	RED HILL	Loading Zone	 8am -  5pm MON-FRI 8am -  12noon SAT
733	152.9984821	-27.47531042	LANG PARADE	AUCHENFLOWER	Loading Zone	
734	153.0204056	-27.46162808	WICKHAM TERRACE	SPRING HILL	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 9am -  5 30pm MON-FRI 8am -  12noon SAT
735	153.0249414	-27.58206521	FINLAYSON STREET	ACACIA RIDGE	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
736	153.0824274	-27.5590109	SANDERS STREET	UPPER MOUNT GRAVATT	Loading Zone	
737	153.0217039	-27.47862719	GREY STREET	SOUTH BRISBANE	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
738	153.0299316	-27.47039039	FELIX STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 7am -  7pm MON-FRI
739	153.0270828	-27.47346715	MARGARET STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 9am -  3 30pm MON-FRI
740	153.0196046	-27.46735526	HERSCHEL STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 9am -  7pm MON-FRI
741	153.0298254	-27.46831618	CREEK STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	  -   ALL OTHER TIMES
742	153.0480529	-27.51295548	NEWDEGATE STREET	GREENSLOPES	Loading Zone	 8am -  4pm MON-FRI
743	153.0381293	-27.45326537	WICKHAM STREET	FORTITUDE VALLEY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 9am -  4pm MON-FRI
744	152.9745396	-27.411255	BLACKWOOD STREET	MITCHELTON	Loading Zone Passengers 2 Min. Max	
745	153.0500831	-27.49807281	PANITYA STREET	STONES CORNER	Loading Zone	 7am -  7pm MON-FRI
746	153.0357428	-27.44842669	JEAYS STREET	BOWEN HILLS	Loading Zone	
747	153.043191	-27.43312204	SANDGATE ROAD	ALBION	Loading Zone	
748	153.0352776	-27.46623788	MAIN STREET	KANGAROO POINT	Loading Zone	
749	153.0600746	-27.49397559	OLD CLEVELAND ROAD	COORPAROO	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 8am -  5 30pm MON-FRI 8am -  12noon SAT
750	153.0196596	-27.51906618	PARK ROAD	YERONGA	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
751	153.0460033	-27.46741825	MERTHYR ROAD	NEW FARM	Loading Zone	 8am -  5 30pm MON-FRI 8am -  12noon SAT
752	152.9787233	-27.51754848	ACACIA AVENUE	GRACEVILLE	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
753	153.0539706	-27.48667629	CAVENDISH ROAD	COORPAROO	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
754	153.0366194	-27.45931804	BERWICK STREET	FORTITUDE VALLEY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
755	153.024887	-27.46737753	ANN STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	  -   ALL OTHER TIMES
756	153.030706	-27.43226285	CONSTITUTION ROAD	WINDSOR	Loading Zone Passengers 2 Min. Max	  7 00AM -  9 00AM SCHOOLDAYS 2 00PM -  4 00PM
757	153.0618612	-27.40072231	STATION STREET	NUNDAH	Loading Zone Passengers 2 Min. Max	
758	153.0366515	-27.56801151	BEATON STREET	COOPERS PLAINS	Loading Zone Passengers 2 Min. Max	 8am -  5 30pm DAILY
759	153.0589733	-27.45124133	OXFORD STREET	BULIMBA	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
760	153.0175559	-27.42542308	EVELYN STREET	GRANGE	Loading Zone	 8am -  5 30pm MON-FRI
761	153.0144405	-27.46193181	PETRIE TERRACE	PETRIE TERRACE	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	  -   ALL OTHER TIMES
762	153.069486	-27.31947336	THIRD AVENUE	SANDGATE	Loading Zone	 8am -  5 30pm MON-FRI 8am -  12noon SAT
763	153.0221875	-27.4797042	GREY STREET	SOUTH BRISBANE	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 7am -  7pm MON-FRI
764	153.0251791	-27.47114017	ELIZABETH STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	  -   ALL OTHER TIMES
765	153.0388974	-27.45147055	LIGHT STREET	FORTITUDE VALLEY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
766	153.0426568	-27.45320184	COMMERCIAL ROAD	NEWSTEAD	Loading Zone	 7am -  6pm MON-FRI 7am -  12noon SAT
767	153.0488499	-27.455352	FLORENCE STREET	TENERIFFE	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
768	153.1542067	-27.45550649	WYNNUM ROAD	WYNNUM WEST	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
769	152.9897448	-27.39419039	FLOCKTON STREET	EVERTON PARK	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
770	153.0484593	-27.45881824	BEESTON STREET	TENERIFFE	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
771	153.0141447	-27.47404041	PEEL STREET	SOUTH BRISBANE	Loading Zone	 8am -  5 30pm MON-FRI 8am -  12noon SAT
772	152.991974	-27.485496	SHERWOOD ROAD	TOOWONG	Loading Zone	 MON-FRI 6 00AM -  6 00PM SAT 6 00AM -  12 00PM
773	153.0351138	-27.45397158	GREEN SQUARE CLOSE	FORTITUDE VALLEY	Loading Zone Passengers 2 Min. Max	
774	153.0287855	-27.46726777	CREEK STREET	BRISBANE CITY	Loading Zone Passengers 2 Min. Max	 10am -  2pm MON-FRI 7am -  7pm SAT
775	153.0280271	-27.47240521	ALBERT STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	  -   ALL OTHER TIMES
776	153.0241474	-27.53286962	RADBURN LANE	MOOROOKA	Loading Zone	 8am -  5 30pm MON-FRI 8am -  12noon SAT
777	153.1048959	-27.5025475	BANCHORY COURT	CARINDALE	Loading Zone Passengers 2 Min. Max	
778	153.0452508	-27.4720871	MORAY STREET	NEW FARM	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
779	153.0239289	-27.4667783	TURBOT STREET	BRISBANE CITY	Loading Zone Passengers 2 Min. Max	  -   ALL OTHER TIMES
780	153.0723616	-27.31809352	FLINDERS PARADE	SANDGATE	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
781	153.0300399	-27.3858658	HAMILTON ROAD	CHERMSIDE	Loading Zone	 9am -  4pm MON-SAT
782	152.9749165	-27.60132986	WIRRAWAY PARADE	INALA	Loading Zone Passengers 2 Min. Max	 8am -  5 30pm MON-FRI
783	153.0145057	-27.47221597	MERIVALE STREET	SOUTH BRISBANE	Loading Zone	
784	153.026223	-27.47297088	MARY STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 5pm -  7pm MON-FRI
785	153.0276895	-27.44556319	BUTTERFIELD STREET	HERSTON	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 8am -  3 30pm MON-FRI
786	152.994568	-27.41660906	LAUREL STREET	ENOGGERA	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
787	153.0541881	-27.4901659	MORLEY STREET	COORPAROO	Loading Zone	
788	153.0494993	-27.42942731	BUTLER STREET	ASCOT	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
789	153.0737125	-27.48670816	PERTH STREET	CAMP HILL	Loading Zone Passengers 2 Min. Max	 8am -  9am  2 30pm -  3 30pm SCHOOLDAYS
790	153.0523747	-27.2944721	NORTH ROAD	BRIGHTON	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
791	153.0315888	-27.43750619	CARTWRIGHT STREET	WINDSOR	Loading Zone	
792	153.0288517	-27.46533653	ADELAIDE STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
793	153.0345459	-27.50511791	IPSWICH ROAD	ANNERLEY	Loading Zone	 9am -  4pm MON-FRI
794	153.0142186	-27.43740953	FINSBURY STREET	NEWMARKET	Loading Zone	
795	153.0230746	-27.46057611	BOUNDARY STREET	SPRING HILL	Loading Zone Passengers 2 Min. Max	
796	153.0389899	-27.46137898	HARCOURT STREET	NEW FARM	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 7am -  7pm DAILY
797	153.0389732	-27.48687223	STANLEY STREET	WOOLLOONGABBA	Loading Zone Passengers 2 Min. Max	 7 -  10am  2pm -  4pm MON-FRI
798	153.0823917	-27.558941	SANDERS STREET	UPPER MOUNT GRAVATT	Loading Zone	
799	153.0495303	-27.45600952	FLORENCE STREET	TENERIFFE	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 7am -  7pm MON-FRI
800	153.0495726	-27.41485774	JUNCTION ROAD	CLAYFIELD	Loading Zone	 8am -  5pm MON-FRI
801	153.1852745	-27.45409826	STRATTON TERRACE	MANLY	Loading Zone	 8am -  5 30pm MON-FRI
802	153.0203108	-27.47546786	GREY STREET	SOUTH BRISBANE	Loading Zone Passengers 2 Min. Max	
803	153.0148958	-27.42895881	PRIMROSE STREET	GRANGE	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
804	153.0487983	-27.45531185	FLORENCE STREET	TENERIFFE	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
805	153.0456558	-27.44672743	NEWSTEAD TERRACE	NEWSTEAD	Loading Zone	 8am -  5 30pm MON-FRI
806	152.9742459	-27.50236313	RIVERVIEW TERRACE	INDOOROOPILLY	Loading Zone	 9am -  5 30pm MON-FRI 8am -  4pm SAT
807	153.0361344	-27.46955451	DEAKIN STREET	KANGAROO POINT	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	
808	153.0650908	-27.43324771	BEATRICE TERRACE	ASCOT	Loading Zone	 MON-FRI 8 00AM -  5 30PM SAT 8 00AM -  12 00PM
809	153.0527967	-27.49578496	FIFTH AVENUE	COORPAROO	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
810	153.0215459	-27.47870889	GREY STREET	SOUTH BRISBANE	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 7am -  7pm 
811	153.0346705	-27.48643634	STANLEY STREET	WOOLLOONGABBA	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 7am -  7pm 
812	153.0903182	-27.49081103	MAYFIELD ROAD	CARINA	Loading Zone Passengers 2 Min. Max	 8am -  9am  2 30pm -  3 30pm SCHOOLDAYS
813	153.0244056	-27.46263623	LEICHHARDT STREET	SPRING HILL	Loading Zone Passengers 2 Min. Max	
814	153.021801	-27.4807983	COLCHESTER STREET	SOUTH BRISBANE	Loading Zone Passengers 2 Min. Max	
815	153.0507257	-27.49530467	EIGHTH AVENUE	COORPAROO	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
816	153.0255134	-27.47285275	GEORGE STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	  -   ALL OTHER TIMES
817	153.0044389	-27.47026021	PARK ROAD	MILTON	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 9am -  7pm MON-FRI
818	153.0428892	-27.43906631	SANDGATE ROAD	ALBION	Loading Zone	 MON-FRI 8 00AM -  5 30PM SAT 8 00AM -  12 00PM
819	153.0219619	-27.48103552	COLCHESTER STREET	SOUTH BRISBANE	Loading Zone Passengers 2 Min. Max	
820	153.0418726	-27.46554752	BOWEN TERRACE	NEW FARM	Loading Zone Passengers 2 Min. Max	
821	153.0362725	-27.48698685	LOGAN ROAD	WOOLLOONGABBA	Loading Zone	
822	153.0593304	-27.34848501	ROSCOMMON ROAD	BOONDALL	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
823	153.0159968	-27.42804249	INGLIS STREET	GRANGE	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
824	153.1225218	-27.5457112	VIVALDI PLACE	MACKENZIE	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
825	153.0068301	-27.45518344	MUSGRAVE ROAD	RED HILL	Loading Zone	 8am -  5 30pm MON-FRI
826	152.972981	-27.5530363	ARDOYNE ROAD	OXLEY	Loading Zone Passengers 2 Min. Max	 MON-FRI 7 00AM -  6 00PM SAT 7 00AM -  12 00PM
827	153.0238052	-27.4820405	GREY STREET	SOUTH BRISBANE	Loading Zone Passengers 2 Min. Max	
828	153.030146	-27.38587999	HAMILTON ROAD	CHERMSIDE	Loading Zone	 9am -  4pm MON-SAT
829	153.0278623	-27.46502959	ANN STREET	BRISBANE CITY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	  -   ALL OTHER TIMES
830	153.0059814	-27.48035105	VULTURE STREET	WEST END	Loading Zone	 8am -  5 30pm MON-FRI 8am -  12noon SAT
831	153.0333726	-27.45557446	ALFRED STREET	FORTITUDE VALLEY	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 7am -  6pm MON-FRI 7am -  12noon SAT
832	153.0522156	-27.2944576	NORTH ROAD	BRIGHTON	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
833	152.9852462	-27.46697411	BOUNDARY ROAD	BARDON	Loading Zone Passengers 2 Min. Max	 8am -  9am  2 30pm -  3 30pm SCHOOLDAYS
834	153.0550858	-27.29350538	GREENWOOD STREET	BRIGHTON	Loading Zone Passengers 2 Min. Max	 7am -  9am  2pm -  4pm SCHOOLDAYS
835	153.0071814	-27.45397173	VICTORIA STREET	RED HILL	"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"	 7am -  7pm DAILY
836	153.0636925	-27.44378036	APOLLO ROAD	BULIMBA	Loading Zone Passengers 2 Min. Max	
837	153.1079859	-27.545852	BROADWATER ROAD	MANSFIELD	Loading Zone Passengers 2 Min. Max	 7am -  9am SCHOOLDAYS
838	153.0354647	-27.46810063	MAIN STREET	KANGAROO POINT	Loading Zone	 MON-FRI 8 00AM -  5 30PM SAT 8 00AM -  12 00PM
